2311002,2
2311006,2
2311010,2
2311014,3
2311018,3
2311022,3
2311030,-
2311034,2
2311038,3
2311042,3
2311046,3
2311050,3
2311058,2
2311062,2
2311066,2
2311070,2
2311074,3
2311078,-
2311082,2
2311086,2
2311090,3
2311094,-
2311098,2
2311102,2
2311106,2
2311110,2
2311114,1
2311118,2
2311122,2
2311126,2
2311130,1
2311134,3
2311138,3
2311142,3
2311146,2
2311150,2
2311154,3
2311158,2
2311162,3
2311166,3
2311170,-
2311174,3
2311178,2
2311186,3
2311190,1
2311194,1
2311198,3
2311202,3
2311206,2
2311210,2
2311218,3
2311222,3
2311226,2
2311230,3
2311234,1
