2311002,1
2311010,1
2311014,1
2311018,-
2311022,3
2311026,2
2311030,2
2311034,2
2311038,-
2311042,1
2311046,3
2311050,3
2311054,1
2311058,2
2311062,1
2311066,1
2311070,1
2311074,1
2311082,1
2311086,1
2311090,3
2311098,1
2311102,1
2311106,2
2311110,2
2311114,3
2311118,3
2311122,2
2311126,1
2311130,1
2311134,3
2311138,3
2311146,2
2311150,3
2311158,2
2311162,2
2311166,1
2311170,3
2311174,2
2311178,2
2311182,1
2311186,3
2311190,1
2311194,1
2311198,2
2311202,1
2311206,2
2311210,2
2311222,3
2311226,3
2311230,1
2311234,3
