1000318,0,1,0,0,0
1000418,0,1,0,0,0
1000562,0,1,0,0,0
1000539,0,1,0,0,0
1000036,0,1,0,0,0
1000281,0,1,0,0,0
1000903,0,3,0,0,0
1000325,0,3,0,0,0
1000218,0,3,0,0,0
1000595,0,3,0,0,0
1000104,0,3,0,0,0
1000190,0,4,0,0,0
1000913,0,4,0,0,0
1000603,0,4,0,0,0
1000369,0,5,0,0,0
1000430,0,5,0,0,0
1000178,0,6,0,0,0
1000254,0,6,0,0,0
1000951,0,6,0,0,0
1000805,0,6,0,0,0
1000845,0,6,0,0,0
1000644,0,6,0,0,0
1000102,0,6,0,0,0
1000192,0,6,0,0,0
1000648,0,7,0,0,0
1000670,0,7,0,0,0
1000641,0,7,0,0,0
1000087,0,7,0,0,0
1000361,0,7,0,0,0
1000771,0,7,0,0,0
1000324,0,7,0,0,0
1000666,0,7,0,0,0
1000193,0,7,0,0,0
1000759,0,8,0,0,0
1000936,0,9,0,0,0
1000122,0,9,0,0,0
1000316,0,9,0,0,0
1000445,0,9,0,0,0
1000043,0,9,0,0,0
1000421,0,9,0,0,0
1000152,0,9,0,0,0
1000971,0,9,0,0,0
1000712,0,9,0,0,0
1000850,0,9,0,0,0
1000857,0,9,0,0,0
1000049,0,9,0,0,0
1000688,0,9,0,0,0
1000478,0,9,0,0,0
1000169,0,9,0,0,0
1000900,0,9,0,0,0
